Ziegenkaese Rolle;291;20;1;23;
Zwiebel;27;1;5;0;
Zwiebelmett;153;18;1;9;
Spekulations;477;6;70;18;
Alaska Seelachsfilet;73;17;0;1;
Aperol Spritz;102;1;11;1;
Apfel;52;0;12;0;
Apfelschorle;22;0;5;0;
avocado;160;2;9;15;
Bacon;335;15;1;30;
Banana;89;1;23;0;
Base Calor;100;0;0;0;
Base Carb;0;0;100;0;
Base Fat;0;0;0;100;
Base Protein;0;100;0;0;
Bauchfleisch;295;9;0;53;
Bier;43;0;4;0;
Birne;57;1;15;0;
blatt spinat;23;0;4;0;
Bonelatini Eis;200;3;29;8;
Boerek (Hackfleisch);218;17;2;16;
Bratwurst;248;11;0;23;
Bregenwurst;326;14;1;30;
Brokkoli;34;3;3;0;
Broetchen;310;11;52;6;
Brownie;446;6;50;29;
Buchweizen Banana Cookies;216;7;41;1;
Buchweizen BFZ Cookies;234;7;35;6;
Buschbohnen;37;2;6;0;
Butter;741;1;0;83;
Cashew;553;18;30;44;
Champignons;19;3;1;0;
Chicken Vindaloo;162;5;15;1;
Chinaemuese Lidl;60;2;6;3;
civapcici;248;18;0;19;
crossiant;406;8;46;21;
Curry Dattel Dip;302;4;12;26;
Dinkelschnitten;273;11;36;8;
Dinkelspitz;280;10;46;4;
Doenertasche;174;7;23;6;
Edamame Nudeln;340;40;12;10;
Edelmarzipan-Brot Rum_Traube;457;7;56;20;
Ei;143;12;0;9;1 Ei = 50g
Eiweissbrot Lidl;259;23;11;12;
Erbsen;78;6;11;0;
Erbsentofu;82;5;8;2;
Erdnuesse Pikant&G;596;24;13;47;
Feige;60;1;13;0;
Fischstaebchen;203;13;18;9;
Franzbroetchen;422;5;45;24;
Freeway Cola;39;0;9;0;
G&G Chicken Nuggets;136;17;14;1;
G&Gefluegelfrikadellen;222;14;8;15;
Gefluegelfleischbaellchen Pesto;205;15;8;12;
Gefluegelwuerstchen;204;14;0;16;
Gehackte Tomaten;29;1;4;0;
Gouda;397;25;0;32;
Gruenkohl;49;4;9;0;
Gustavo Salami Pizza;249;10;24;12;
Hackfleisch;236;18;1;18;
Haegen Dasz;252;4;22;16;
Haenchen Filetstuecke Snack;135;22;4;3;
Haenchen Ofenschale;130;14;4;7;
Haenchenbrust;106;22;0;2;
Haenchenbrust Filet Sweet Chilli;135;22;4;3;
Haenchenkeulen;127;18;0;6;
Haenchenschenkel;173;18;0;11;
Harzer;131;30;0;0;
High Protein Milchreis Milbona;93;8;10;2;
Hirtenkaese;256;18;1;20;
Hokkaido Kuerbis;67;2;14;1;
Honig;304;0;82;0;
Honigmelone;34;1;8;0;
HP Chocolate Pudding;76;10;6;1;
HP Double Choc Pudding;84;10;6;2;
HP Joghurt Blaubeere;65;10;6;0;
Iglo Schlemmerfilet;185;11;10;11;
Joghurt 3.5%;69;4;5;4;
Kaktusfeige;41;1;10;0;
Karotten;25;0;5;0;
Kartoffelklos;104;2;22;1;
Kartoffeln;73;2;15;0;
Kaese Kuerbis Kracker;463;19;45;21;
Kaesekuchen;321;6;26;23;
Kidney Bohnen;99;8;13;0;
Kinder Country;561;9;54;33;
Knusper Filets Edamer;177;11;18;7;
Kochschinken;109;18;1;4;
Lachs Filet;220;19;0;16;
Lidl Protein Eis Schocko;111;8;17;3;
Linsen (gekocht);116;9;20;0;
Linsenpasta;351;26;55;2;
Mais;77;2;13;1;
Makrelenfilet Lidl;238;19;0;18;
Mandarine;47;1;10;0;
Mandeln;612;29;5;55;
Marmelade 75%;148;0;40;0;
Mercimek Koefte;130;4;17;5;
Mettenden;344;17;1;30;
Miesmuschel;125;17;7;3;
Milch 1.5%;42;3;0;2;
Milchschockolade;542;7;56;32;
mozarella;245;18;0;18;
Muesli;375;10;53;2;
Naan;264;8;47;4;
Nashi;32;0;8;0;
Ochsenauge;222;3;30;10;
Oliven oel;884;0;0;100;
Paprika;40;2;9;0;
Passierte Tomaten;33;2;6;0;
Pasta;359;12;72;2;
Pfannekuchen Zimt Zucker;184;6;29;4;
Pfifferlinge;18;2;0;0;
Pflaumenschnecke;279;4;32;15;
Pinsa Salmone;202;9;30;4;
Pommes;312;3;41;15;
Porree;30;2;4;0;
Protein Milchreis;86;8;11;1;
Proteinpulver;375;74;5;6;
Proteinriegel  Banane;393;32;42;11;
Proteinshake;87;12;5;2;
Pulled Chicken Lidl;121;16;4;5;
Pute mit Bohnen;78;10;5;2;
Putenbrust;132;26;0;2;
Quinoa Weiss;355;12;62;6;
Raeucherlachs;171;21;4;8;
Reis;349;8;76;1;
Reis (gekocht);130;3;28;0;
Remoulade;600;1;5;63;
Rinder Entrecote;170;20;0;4;
Rinderroulade;116;24;1;2;
Rindersteaks;108;20;1;3;
Ritter Sport;563;9;50;35;
Roggenvollkornbrot;202;5;38;1;
Rosenkohl;43;4;4;0;
Rotkohl;31;1;7;0;
Salami;336;22;2;26;
Sardinen in Tomatensauce;126;17;4;4;
Schawarma Baguette;188;10;25;5;
Schinken (Schwarzwaelder);210;25;0;12;
Schinkenmettwurst;346;18;1;30;
Schlemmerfilet;171;11;11;10;
Schocko Crossiant;422;8;12;13;
Schocko Pudding;142;2;23;4;
Schweine Nackensteak;193;19;0;13;
Schweinebraten;193;16;1;15;
Seelachs Mus;343;11;0;33;
Sekt;88;0;2;0;
Selfmade Chilli;97;6;6;5;
Selfmade Haenchenulasch;61;5;6;2;
Selfmade Kuerbissuppe;31;1;5;1;
Selfmade Proteinpudding;90;12;20;0;
Sellerie;17;1;2;0;
Skyr;58;9;5;0;
Skyr (Strawberry);56;9;5;0;
Soba;355;14;70;0;
Studentenfutter;505;13;33;33;
Sucuk;340;17;2;29;
Suppennudeln;155;2;26;6;
Thuna;107;25;0;0;
Tomaten;21;1;3;0;
Vollkorn Broetchen;222;8;43;1;
Wasser;0;0;0;0;
Wein;83;0;3;0;
Weintraube;67;0;17;0;
Weisse Bohnen;67;6;13;1;
WellMix Proteinriegel;381;33;38;16;
Whiskey;250;0;0;0;
Marzipanstollen;416;6;20;20;
Gefluegel Salami;208;23;0;13;
ananas;50;0;13;0;
ciabatta;248;8;49;1;
Schweinegyros;120;18;3;4;
Kuerbissuppe Haenchen;44;5;4;1;
Schmalzkuchen;420;6;46;23;
Walnuss;654;15;6;66;
Magerquark;65;13;4;0;
wildpreisebeeren;170;0;41;0;
Frischkaese;252;5;3;24;
Baumstamm;499;7;54;27;
Smash Burger;209;19;0;15;
Toor Dal Fry;323;23;57;2;
soft baked cookies;472;6;57;23;
Boerek (Spinat Kaese);220;7;16;14;
Rustipani;237;11;31;7;
Blaubeere;42;1;7;1;
Alaska Seelachs mit Panade;121;13;14;1;
quarkriegel;333;20;21;19;
Shrimp Cocktail;258;6;10;21;
Vegane Steinofenpizza;216;6;32;6;
Spargel;27;2;3;0;
Oliven;115;1;6;11;
Havuclu;190;8;12;10;
Pfannkuchen (ohne Zucker);147;10;22;4;vanilla protein pulver
Kirschtasche;363;4;30;18;
Laugenecke;323;8;37;15;1 Laugenecke ca 80g
Donut;253;3;29;14;
Choch Choch Milka;454;6;58;22;
Lamm-Spiesse;244;17;1;20;
Hallumi;310;24;2;23;
Stroopwaffel;456;4;62;21;eine stroopwaffel 40g
Cevapcici ;252;17;1;20;
Mohnschnecke;400;5;50;15;
Bliss Balls;415;8;48;20;1 ball = 20g
